Category,Values,Type,Rate,CI
Ethnicity,H,Severe,3.513,(3.384 - 3.648)
Ethnicity,N,Severe,1.777,(1.744 - 1.811)
Race,Asian,Severe,1.316,(1.196 - 1.447)
Race,Black,Severe,3.713,(3.605 - 3.825)
Race,AIAN,Severe,2.621,(2.257 - 3.054)
Race,Multiracial,Severe,1.034,(0.888 - 1.216)
Race,Other,Severe,3.202,(2.967 - 3.466)
Race,NHPI,Severe,5.919,(4.387 - 8.336)
Race,White,Severe,1.726,(1.689 - 1.763)
Species,boydii,Severe,0.012,(0.009 - 0.015)
Species,dysenteriae,Severe,0.003,(0.002 - 0.005)
Species,flexneri,Severe,0.448,(0.433 - 0.463)
Species,sonnei,Severe,1.4,(1.372 - 1.427)
Species,unknown,Severe,0.424,(0.410 - 0.440)
State,CA,Severe,4.034,(3.868 - 4.206)
State,CO,Severe,1.794,(1.672 - 1.924)
State,CT,Severe,0.821,(0.746 - 0.902)
State,GA,Severe,3.699,(3.603 - 3.797)
State,MD,Severe,1.444,(1.366 - 1.526)
State,MN,Severe,2.136,(2.037 - 2.239)
State,NM,Severe,2.553,(2.380 - 2.736)
State,NY,Severe,1.06,(0.981 - 1.145)
State,OR,Severe,1.199,(1.112 - 1.291)
State,TN,Severe,2.218,(2.124 - 2.315)
Resistant to,AmpR,Severe,0.025,(0.021 - 0.029)
Resistant to,CotR,Severe,0.027,(0.024 - 0.031)
Resistant to,CipDSC,Severe,0.003,(0.002 - 0.004)
Resistant to,CipR,Severe,0.003,(0.001 - 0.004)
Resistant to,AxoR,Severe,0.001,(0.000 - 0.002)
Resistant to,AzmR,Severe,0.009,(0.007 - 0.013)
Antibiotic Resistance,1 or more,Severe,0.037,(0.033 - 0.042)
Antibiotic Resistance,2 or more,Severe,0.017,(0.014 - 0.020)
Antibiotic Resistance,3 or more,Severe,0.005,(0.003 - 0.006)
Antibiotic Resistance,4 or more,Severe,0.001,(0.001 - 0.003)
Antibiotic Resistance,MDR,Severe,0.001,(0.000 - 0.002)
Antibiotic Resistance,XDR,Severe,0,(0.000 - 0.001)
Total,All,Total,4.686,(4.635 - 4.736)
Sex,F,Total,4.391,(4.322 - 4.461)
Sex,M,Total,4.971,(4.899 - 5.045)
AgeGroup,0-4,Total,17.149,(17.019 - 17.280)
AgeGroup,5-14,Total,8.551,(8.487 - 8.615)
AgeGroup,15-24,Total,2.591,(2.557 - 2.626)
AgeGroup,25-44,Total,3.851,(3.810 - 3.893)
AgeGroup,45-64,Total,2.505,(2.470 - 2.540)
AgeGroup,65+,Total,1.375,(1.326 - 1.427)
Ethnicity,H,Total,6.199,(6.030 - 6.374)
Ethnicity,N,Total,3.371,(3.326 - 3.418)
Race,Asian,Total,2.468,(2.303 - 2.643)
Race,Black,Total,6.746,(6.599 - 6.895)
Race,AIAN,Total,6.184,(5.621 - 6.812)
Race,Multiracial,Total,1.552,(1.376 - 1.762)
Race,Other,Total,5.761,(5.449 - 6.101)
Race,NHPI,Total,8.316,(6.475 - 11.007)
Race,White,Total,3.428,(3.376 - 3.480)
Species,boydii,Total,0.029,(0.026 - 0.034)
Species,dysenteriae,Total,0.009,(0.007 - 0.011)
Species,flexneri,Total,0.749,(0.730 - 0.769)
Species,sonnei,Total,3.096,(3.055 - 3.137)
Species,unknown,Total,0.802,(0.781 - 0.823)
State,CA,Total,8.096,(7.859 - 8.340)
State,CO,Total,3.495,(3.323 - 3.674)
State,CT,Total,1.853,(1.739 - 1.972)
State,GA,Total,7,(6.868 - 7.134)
State,MD,Total,2.719,(2.611 - 2.831)
State,MN,Total,3.87,(3.736 - 4.008)
State,NM,Total,5.32,(5.068 - 5.581)
State,NY,Total,1.997,(1.887 - 2.112)
State,OR,Total,2.051,(1.937 - 2.171)
State,TN,Total,6.495,(6.333 - 6.660)
Resistant to,AmpR,Total,0.057,(0.051 - 0.063)
Resistant to,CotR,Total,0.051,(0.046 - 0.057)
Resistant to,CipDSC,Total,0.005,(0.004 - 0.007)
Resistant to,CipR,Total,0.004,(0.003 - 0.006)
Resistant to,AxoR,Total,0.001,(0.000 - 0.002)
Resistant to,AzmR,Total,0.013,(0.010 - 0.017)
Antibiotic Resistance,1 or more,Total,0.08,(0.073 - 0.087)
Antibiotic Resistance,2 or more,Total,0.032,(0.028 - 0.036)
Antibiotic Resistance,3 or more,Total,0.007,(0.005 - 0.009)
Antibiotic Resistance,4 or more,Total,0.002,(0.001 - 0.003)
Antibiotic Resistance,MDR,Total,0.001,(0.001 - 0.002)
Antibiotic Resistance,XDR,Total,0,(0.000 - 0.001)
